"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
ND,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,27,0,17,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,11,0,44
NE,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,8,24,3,48
NE,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,16,36,7,25
NE,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,59,0,15,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,13,0,59,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,13,0,59,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,26,1,41,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,18,0,36,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_CABG,Rate of readmission for CABG,0,8,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,21,0,59,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,30,0,53,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,14,0,26,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,47,0,37,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,10,0,14
NH,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,19,3,3
NH,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,16,8,0
NH,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,14,0,4,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,0,8,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,15,0,8,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,16,0,5,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,11,0,12,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_CABG,Rate of readmission for CABG,0,4,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,22,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,23,0,3,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,10,0,9,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,26,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,40,1,21
NJ,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,49,12,3
NJ,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,34,27,2
NJ,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,58,0,1,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,7,31,0,15,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,37,1,15,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,51,6,4,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,54,0,8,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_CABG,Rate of readmission for CABG,0,17,0,3,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,61,0,3,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,59,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,31,0,26,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,61,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,11,0,21
NM,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,7,17,3,16
NM,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,12,19,4,8
NM,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,25,0,3,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,9,0,17,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,9,0,17,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,19,1,7,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,12,0,23,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_CABG,Rate of readmission for CABG,0,5,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,20,0,21,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,27,0,14,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,9,0,16,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,36,0,6,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,15,1,17
NV,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,3,22,3,7
NV,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,5,17,7,8
NV,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,20,0,4,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,6,1,20,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,7,0,20,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,19,0,3,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,19,0,11,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_CABG,Rate of readmission for CABG,1,10,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,28,0,7,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,26,0,9,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,13,0,11,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,28,0,8,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,57,7,87
NY,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,4,91,48,19
NY,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,10,76,70,7
NY,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,126,2,6,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,8,65,0,54,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,68,5,54,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,102,9,21,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,90,0,60,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_CABG,Rate of readmission for CABG,0,30,2,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,140,1,19,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,6,137,0,17,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,92,2,40,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,151,0,8,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,59,6,66
OH,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,17,94,17,21
OH,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,27,91,22,11
OH,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,133,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,5,69,0,67,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,72,2,67,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,121,3,18,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,80,0,50,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_CABG,Rate of readmission for CABG,0,40,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,134,0,14,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,127,0,15,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,66,0,63,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,140,0,9,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,22,1,29
OK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,19,30,9,52
OK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,25,46,10,33
OK,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,59,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,19,0,40,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,17,0,40,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,52,0,12,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,28,0,26,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_CABG,Rate of readmission for CABG,0,11,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,52,0,55,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,57,0,45,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,35,0,24,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,76,0,33,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,16,1,33
OR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,7,31,9,12
OR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,16,31,7,5
OR,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,44,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,26,0,27,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,25,1,27,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,31,0,14,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,23,0,33,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_CABG,Rate of readmission for CABG,0,10,1,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,42,0,17,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,49,2,8,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,17,0,26,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,55,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,4,67,1,63
PA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,16,108,10,17
PA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,21,97,20,14
PA,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,128,1,4,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,7,81,0,46,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,86,2,46,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,115,7,17,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,92,0,43,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_CABG,Rate of readmission for CABG,0,45,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,133,0,15,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,138,0,10,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,81,0,46,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,143,0,6,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,0,2,37
PR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,3,2,38
PR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,1,7,41
PR,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,6,0,24,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,1,0,8,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,1,0,8,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,4,0,33,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,36,0,10,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_CABG,Rate of readmission for CABG,0,8,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,36,0,10,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,8,35,0,6,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,29,1,10,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,43,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,3,1,6
RI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,9,0,1
RI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,3,6,1,1
